empresa,ano,pos,beneficiaria,setor,porte,faturamento_mi,lucro_real,pd
E0024,2022,0,1,Servicos,Media,63.45,1,817.4
E0024,2025,1,1,Servicos,Media,63.45,1,1167.5
E0025,2022,0,0,Industria,Pequena,9.75,0,598.9
E0025,2025,1,0,Industria,Pequena,9.75,0,1009.5
E0026,2022,0,1,Servicos,Media,65.06,1,848.1
E0026,2025,1,1,Servicos,Media,65.06,1,1174.0
E0027,2022,0,0,Comercio,Micro,2.1,0,622.8
E0027,2025,1,0,Comercio,Micro,2.1,0,705.9
E0028,2022,0,0,Agroindustria,Micro,0.97,0,242.8
E0028,2025,1,0,Agroindustria,Micro,0.97,0,435.0
E0029,2022,0,0,Agroindustria,Media,30.87,0,684.9
E0029,2025,1,0,Agroindustria,Media,30.87,0,791.6
E0030,2022,0,0,Agropecuaria,Pequena,6.66,0,683.7
E0030,2025,1,0,Agropecuaria,Pequena,6.66,0,848.0
E0031,2022,0,0,Agropecuaria,Micro,2.26,0,364.0
E0031,2025,1,0,Agropecuaria,Micro,2.26,0,619.5
E0032,2022,0,0,Industria,Pequena,8.28,1,553.1
E0032,2025,1,0,Industria,Pequena,8.28,1,636.4
E0033,2022,0,0,Servicos,Pequena,13.34,1,590.0
E0033,2025,1,0,Servicos,Pequena,13.34,1,568.1
E0034,2022,0,0,Agropecuaria,Pequena,12.94,1,678.0
E0034,2025,1,0,Agropecuaria,Pequena,12.94,1,1100.6
E0035,2022,0,0,Industria,Pequena,11.11,0,479.4
E0035,2025,1,0,Industria,Pequena,11.11,0,698.7
E0036,2022,0,1,Agroindustria,Media,75.38,0,913.8
E0036,2025,1,1,Agroindustria,Media,75.38,0,1311.7
E0037,2022,0,0,Agroindustria,Micro,3.98,0,519.1
E0037,2025,1,0,Agroindustria,Micro,3.98,0,779.8
E0038,2022,0,1,Industria,Media,24.94,1,781.0
E0038,2025,1,1,Industria,Media,24.94,1,1007.6
E0039,2022,0,1,Servicos,Media,64.53,1,895.4
E0039,2025,1,1,Servicos,Media,64.53,1,939.0
E0040,2022,0,0,Agropecuaria,Pequena,14.61,0,683.6
E0040,2025,1,0,Agropecuaria,Pequena,14.61,0,777.2
E0041,2022,0,0,Agropecuaria,Micro,2.13,0,359.9
E0041,2025,1,0,Agropecuaria,Micro,2.13,0,537.2
E0042,2022,0,0,Agroindustria,Micro,2.86,0,333.7
E0042,2025,1,0,Agroindustria,Micro,2.86,0,490.0
E0043,2022,0,0,Agropecuaria,Pequena,8.65,0,611.8
E0043,2025,1,0,Agropecuaria,Pequena,8.65,0,708.4
E0044,2022,0,1,Agropecuaria,Pequena,13.74,0,827.5
E0044,2025,1,1,Agropecuaria,Pequena,13.74,0,1214.5
E0045,2022,0,0,Servicos,Micro,0.6,0,600.7
E0045,2025,1,0,Servicos,Micro,0.6,0,762.5
E0046,2022,0,1,Comercio,Media,38.52,1,1127.5
E0046,2025,1,1,Comercio,Media,38.52,1,1406.1
E0047,2022,0,1,Agropecuaria,Media,81.55,1,914.2
E0047,2025,1,1,Agropecuaria,Media,81.55,1,1110.6
E0048,2022,0,1,Servicos,Media,49.93,1,1256.7
E0048,2025,1,1,Servicos,Media,49.93,1,1555.6
E0049,2022,0,0,Industria,Pequena,13.31,0,602.6
E0049,2025,1,0,Industria,Pequena,13.31,0,803.8
E0050,2022,0,1,Comercio,Media,61.78,1,606.3
E0050,2025,1,1,Comercio,Media,61.78,1,929.7
E0051,2022,0,1,Comercio,Media,46.36,1,950.9
E0051,2025,1,1,Comercio,Media,46.36,1,1272.6
E0052,2022,0,0,Servicos,Pequena,5.53,0,516.9
E0052,2025,1,0,Servicos,Pequena,5.53,0,516.6
E0053,2022,0,1,Agroindustria,Micro,3.72,1,291.1
E0053,2025,1,1,Agroindustria,Micro,3.72,1,439.7
E0054,2022,0,0,Servicos,Pequena,5.83,0,523.5
E0054,2025,1,0,Servicos,Pequena,5.83,0,603.2
E0055,2022,0,0,Agroindustria,Micro,3.37,0,368.4
E0055,2025,1,0,Agroindustria,Micro,3.37,0,411.3
E0056,2022,0,1,Agroindustria,Media,24.84,0,1020.4
E0056,2025,1,1,Agroindustria,Media,24.84,0,1516.9
E0057,2022,0,1,Comercio,Pequena,8.32,1,547.2
E0057,2025,1,1,Comercio,Pequena,8.32,1,627.8
E0058,2022,0,1,Servicos,Media,20.63,1,986.0
E0058,2025,1,1,Servicos,Media,20.63,1,1312.6
E0059,2022,0,0,Comercio,Pequena,14.13,0,632.8
E0059,2025,1,0,Comercio,Pequena,14.13,0,699.9
E0060,2022,0,0,Agropecuaria,Pequena,11.93,0,809.5
E0060,2025,1,0,Agropecuaria,Pequena,11.93,0,1117.7
E0061,2022,0,0,Industria,Micro,4.7,0,640.1
E0061,2025,1,0,Industria,Micro,4.7,0,847.8
E0062,2022,0,0,Servicos,Media,56.07,1,709.3
E0062,2025,1,0,Servicos,Media,56.07,1,1031.8
E0063,2022,0,1,Servicos,Media,65.23,1,712.6
E0063,2025,1,1,Servicos,Media,65.23,1,931.7
E0064,2022,0,0,Agroindustria,Pequena,9.56,0,779.6
E0064,2025,1,0,Agroindustria,Pequena,9.56,0,776.3
E0065,2022,0,1,Industria,Pequena,8.71,0,445.9
E0065,2025,1,1,Industria,Pequena,8.71,0,771.8
E0066,2022,0,0,Agropecuaria,Media,29.7,1,660.6
E0066,2025,1,0,Agropecuaria,Media,29.7,1,771.7
E0067,2022,0,1,Agropecuaria,Media,39.15,1,1062.3
E0067,2025,1,1,Agropecuaria,Media,39.15,1,1154.8
E0068,2022,0,0,Servicos,Pequena,15.7,0,463.7
E0068,2025,1,0,Servicos,Pequena,15.7,0,550.2
E0069,2022,0,0,Agropecuaria,Micro,1.49,0,368.7
E0069,2025,1,0,Agropecuaria,Micro,1.49,0,547.0
E0070,2022,0,1,Servicos,Media,56.78,1,1002.1
E0070,2025,1,1,Servicos,Media,56.78,1,1320.3
E0071,2022,0,0,Agropecuaria,Micro,3.59,0,567.5
E0071,2025,1,0,Agropecuaria,Micro,3.59,0,904.9
E0072,2022,0,0,Agropecuaria,Pequena,12.09,1,444.5
E0072,2025,1,0,Agropecuaria,Pequena,12.09,1,979.6
E0073,2022,0,1,Comercio,Pequena,12.85,1,835.3
E0073,2025,1,1,Comercio,Pequena,12.85,1,1002.1
E0074,2022,0,0,Comercio,Micro,3.32,0,444.9
E0074,2025,1,0,Comercio,Micro,3.32,0,743.3
E0075,2022,0,0,Agroindustria,Media,43.72,1,427.6
E0075,2025,1,0,Agroindustria,Media,43.72,1,540.0
E0076,2022,0,1,Comercio,Media,58.39,1,697.5
E0076,2025,1,1,Comercio,Media,58.39,1,937.4
E0077,2022,0,0,Agropecuaria,Pequena,11.03,1,509.7
E0077,2025,1,0,Agropecuaria,Pequena,11.03,1,859.1
E0078,2022,0,0,Agropecuaria,Media,58.19,0,696.6
E0078,2025,1,0,Agropecuaria,Media,58.19,0,1130.0
E0079,2022,0,0,Industria,Micro,0.71,0,369.8
E0079,2025,1,0,Industria,Micro,0.71,0,542.7
E0080,2022,0,0,Servicos,Micro,0.98,0,507.0
E0080,2025,1,0,Servicos,Micro,0.98,0,492.0
E0081,2022,0,0,Comercio,Media,74.14,0,554.8
E0081,2025,1,0,Comercio,Media,74.14,0,686.1
E0082,2022,0,0,Servicos,Micro,1.35,0,197.2
E0082,2025,1,0,Servicos,Micro,1.35,0,337.3
E0083,2022,0,0,Industria,Pequena,8.02,0,733.4
E0083,2025,1,0,Industria,Pequena,8.02,0,764.8
E0084,2022,0,1,Industria,Media,50.77,0,1235.1
E0084,2025,1,1,Industria,Media,50.77,0,1436.5
E0085,2022,0,0,Agropecuaria,Media,41.08,1,651.6
E0085,2025,1,0,Agropecuaria,Media,41.08,1,831.5
E0086,2022,0,1,Servicos,Media,42.58,1,1327.0
E0086,2025,1,1,Servicos,Media,42.58,1,1740.4
E0087,2022,0,1,Servicos,Micro,2.09,0,510.4
E0087,2025,1,1,Servicos,Micro,2.09,0,777.9
E0088,2022,0,0,Comercio,Pequena,12.45,0,580.2
E0088,2025,1,0,Comercio,Pequena,12.45,0,896.4
E0089,2022,0,1,Servicos,Pequena,5.05,1,478.9
E0089,2025,1,1,Servicos,Pequena,5.05,1,874.1
E0090,2022,0,0,Industria,Pequena,9.25,0,347.5
E0090,2025,1,0,Industria,Pequena,9.25,0,696.3
E0091,2022,0,0,Agropecuaria,Media,42.41,0,869.3
E0091,2025,1,0,Agropecuaria,Media,42.41,0,1074.5
E0092,2022,0,0,Agroindustria,Media,48.29,0,799.8
E0092,2025,1,0,Agroindustria,Media,48.29,0,1019.3
E0093,2022,0,0,Agroindustria,Pequena,11.78,0,382.2
E0093,2025,1,0,Agroindustria,Pequena,11.78,0,634.8
E0094,2022,0,1,Servicos,Pequena,9.59,0,645.1
E0094,2025,1,1,Servicos,Pequena,9.59,0,934.0
E0095,2022,0,0,Comercio,Pequena,6.26,0,308.7
E0095,2025,1,0,Comercio,Pequena,6.26,0,421.2
E0096,2022,0,0,Comercio,Pequena,10.22,0,552.0
E0096,2025,1,0,Comercio,Pequena,10.22,0,920.0
E0097,2022,0,0,Industria,Pequena,7.63,0,901.3
E0097,2025,1,0,Industria,Pequena,7.63,0,1013.6
E0098,2022,0,0,Agroindustria,Pequena,5.75,0,418.0
E0098,2025,1,0,Agroindustria,Pequena,5.75,0,508.5
E0099,2022,0,1,Servicos,Media,70.26,1,1066.9
E0099,2025,1,1,Servicos,Media,70.26,1,1336.3
E0100,2022,0,0,Agropecuaria,Pequena,9.43,0,899.5
E0100,2025,1,0,Agropecuaria,Pequena,9.43,0,1042.0
E0101,2022,0,0,Agroindustria,Pequena,12.64,0,589.7
E0101,2025,1,0,Agroindustria,Pequena,12.64,0,714.0
E0102,2022,0,1,Comercio,Pequena,11.96,0,737.3
E0102,2025,1,1,Comercio,Pequena,11.96,0,945.3
E0103,2022,0,1,Comercio,Media,73.4,1,1208.0
E0103,2025,1,1,Comercio,Media,73.4,1,1551.0
E0104,2022,0,0,Industria,Pequena,12.04,1,481.6
E0104,2025,1,0,Industria,Pequena,12.04,1,793.0
E0105,2022,0,0,Industria,Pequena,14.33,0,667.3
E0105,2025,1,0,Industria,Pequena,14.33,0,885.4
E0106,2022,0,0,Agroindustria,Micro,3.81,0,373.5
E0106,2025,1,0,Agroindustria,Micro,3.81,0,754.5
E0107,2022,0,0,Agroindustria,Micro,2.47,0,263.8
E0107,2025,1,0,Agroindustria,Micro,2.47,0,353.4
E0108,2022,0,1,Comercio,Media,87.34,1,966.3
E0108,2025,1,1,Comercio,Media,87.34,1,1340.2
E0109,2022,0,0,Agroindustria,Pequena,12.39,0,752.4
E0109,2025,1,0,Agroindustria,Pequena,12.39,0,925.5
E0110,2022,0,0,Comercio,Pequena,11.53,0,512.4
E0110,2025,1,0,Comercio,Pequena,11.53,0,512.8
E0111,2022,0,0,Agroindustria,Pequena,13.4,0,730.5
E0111,2025,1,0,Agroindustria,Pequena,13.4,0,883.2
E0112,2022,0,0,Agropecuaria,Micro,1.34,0,416.8
E0112,2025,1,0,Agropecuaria,Micro,1.34,0,803.9
E0113,2022,0,0,Agropecuaria,Pequena,15.1,1,410.4
E0113,2025,1,0,Agropecuaria,Pequena,15.1,1,752.5
E0114,2022,0,1,Industria,Pequena,6.93,1,582.7
E0114,2025,1,1,Industria,Pequena,6.93,1,1056.5
E0115,2022,0,1,Comercio,Media,60.21,1,808.2
E0115,2025,1,1,Comercio,Media,60.21,1,983.6
E0116,2022,0,0,Servicos,Pequena,12.91,0,356.3
E0116,2025,1,0,Servicos,Pequena,12.91,0,862.3
E0117,2022,0,1,Agroindustria,Media,16.91,1,1033.3
E0117,2025,1,1,Agroindustria,Media,16.91,1,1250.0
E0118,2022,0,0,Agropecuaria,Micro,2.69,0,400.9
E0118,2025,1,0,Agropecuaria,Micro,2.69,0,412.1
E0119,2022,0,0,Comercio,Media,29.87,0,653.7
E0119,2025,1,0,Comercio,Media,29.87,0,790.7
E0120,2022,0,1,Comercio,Media,61.43,1,985.1
E0120,2025,1,1,Comercio,Media,61.43,1,1361.8
E0121,2022,0,0,Agroindustria,Media,65.66,1,733.7
E0121,2025,1,0,Agroindustria,Media,65.66,1,1012.1
E0122,2022,0,1,Industria,Media,77.31,1,734.3
E0122,2025,1,1,Industria,Media,77.31,1,1041.2
E0123,2022,0,1,Comercio,Media,54.85,1,1138.4
E0123,2025,1,1,Comercio,Media,54.85,1,1359.5
E0124,2022,0,1,Servicos,Pequena,14.03,1,436.9
E0124,2025,1,1,Servicos,Pequena,14.03,1,703.7
E0125,2022,0,1,Comercio,Media,58.05,1,1119.9
E0125,2025,1,1,Comercio,Media,58.05,1,1611.6
E0126,2022,0,1,Agropecuaria,Pequena,9.49,0,297.5
E0126,2025,1,1,Agropecuaria,Pequena,9.49,0,789.0
E0127,2022,0,0,Industria,Micro,4.39,1,522.8
E0127,2025,1,0,Industria,Micro,4.39,1,782.8
E0128,2022,0,0,Agropecuaria,Pequena,15.13,0,437.8
E0128,2025,1,0,Agropecuaria,Pequena,15.13,0,588.8
E0129,2022,0,1,Agropecuaria,Media,56.81,0,1018.3
E0129,2025,1,1,Agropecuaria,Media,56.81,0,1242.9
E0130,2022,0,1,Industria,Media,82.85,1,1077.4
E0130,2025,1,1,Industria,Media,82.85,1,1596.3
E0131,2022,0,0,Servicos,Micro,4.21,0,571.0
E0131,2025,1,0,Servicos,Micro,4.21,0,717.5
E0132,2022,0,1,Comercio,Pequena,6.09,0,782.1
E0132,2025,1,1,Comercio,Pequena,6.09,0,1182.6
E0133,2022,0,0,Comercio,Micro,1.85,0,611.8
E0133,2025,1,0,Comercio,Micro,1.85,0,786.1
E0134,2022,0,0,Agroindustria,Micro,0.42,0,676.3
E0134,2025,1,0,Agroindustria,Micro,0.42,0,1082.6
E0135,2022,0,0,Comercio,Pequena,12.36,0,918.0
E0135,2025,1,0,Comercio,Pequena,12.36,0,1135.4
E0136,2022,0,1,Comercio,Pequena,15.34,1,338.4
E0136,2025,1,1,Comercio,Pequena,15.34,1,547.4
E0137,2022,0,0,Comercio,Micro,1.17,0,296.6
E0137,2025,1,0,Comercio,Micro,1.17,0,382.4
E0138,2022,0,1,Industria,Pequena,9.46,1,627.0
E0138,2025,1,1,Industria,Pequena,9.46,1,1034.8
E0139,2022,0,0,Comercio,Pequena,11.17,0,590.3
E0139,2025,1,0,Comercio,Pequena,11.17,0,931.7
E0140,2022,0,0,Agropecuaria,Micro,2.07,0,606.3
E0140,2025,1,0,Agropecuaria,Micro,2.07,0,809.7
E0141,2022,0,1,Comercio,Media,29.13,1,672.7
E0141,2025,1,1,Comercio,Media,29.13,1,975.6
E0142,2022,0,0,Comercio,Pequena,14.86,0,415.0
E0142,2025,1,0,Comercio,Pequena,14.86,0,583.0
E0143,2022,0,1,Agroindustria,Micro,0.95,0,434.6
E0143,2025,1,1,Agroindustria,Micro,0.95,0,799.2
E0144,2022,0,1,Agropecuaria,Media,26.67,0,1248.9
E0144,2025,1,1,Agropecuaria,Media,26.67,0,1466.9
E0145,2022,0,0,Agroindustria,Pequena,9.15,0,250.8
E0145,2025,1,0,Agroindustria,Pequena,9.15,0,350.2
E0146,2022,0,0,Industria,Micro,1.23,0,443.1
E0146,2025,1,0,Industria,Micro,1.23,0,437.9
E0147,2022,0,1,Servicos,Pequena,8.29,0,692.6
E0147,2025,1,1,Servicos,Pequena,8.29,0,1139.1
E0148,2022,0,1,Agropecuaria,Pequena,7.11,1,695.0
E0148,2025,1,1,Agropecuaria,Pequena,7.11,1,986.1
E0149,2022,0,0,Agropecuaria,Media,48.75,1,543.2
E0149,2025,1,0,Agropecuaria,Media,48.75,1,612.6
E0150,2022,0,0,Industria,Pequena,14.88,0,629.1
E0150,2025,1,0,Industria,Pequena,14.88,0,905.7
E0151,2022,0,0,Comercio,Micro,4.27,0,33.1
E0151,2025,1,0,Comercio,Micro,4.27,0,267.7
E0152,2022,0,0,Servicos,Media,36.59,0,1067.3
E0152,2025,1,0,Servicos,Media,36.59,0,1204.5
E0153,2022,0,1,Agroindustria,Micro,2.94,0,533.9
E0153,2025,1,1,Agroindustria,Micro,2.94,0,1067.6
E0154,2022,0,0,Agropecuaria,Pequena,7.04,0,641.2
E0154,2025,1,0,Agropecuaria,Pequena,7.04,0,844.4
E0155,2022,0,0,Comercio,Media,85.62,0,1089.3
E0155,2025,1,0,Comercio,Media,85.62,0,1197.7
E0156,2022,0,1,Comercio,Media,65.94,1,749.4
E0156,2025,1,1,Comercio,Media,65.94,1,1250.6
E0157,2022,0,0,Comercio,Pequena,11.8,0,542.1
E0157,2025,1,0,Comercio,Pequena,11.8,0,579.2
E0158,2022,0,1,Agropecuaria,Media,55.0,1,1156.0
E0158,2025,1,1,Agropecuaria,Media,55.0,1,1512.1
E0159,2022,0,0,Industria,Pequena,14.12,1,694.3
E0159,2025,1,0,Industria,Pequena,14.12,1,704.3
E0160,2022,0,1,Industria,Media,20.38,1,878.7
E0160,2025,1,1,Industria,Media,20.38,1,1157.2
E0161,2022,0,0,Comercio,Pequena,5.99,0,517.3
E0161,2025,1,0,Comercio,Pequena,5.99,0,763.4
E0162,2022,0,0,Servicos,Pequena,13.35,1,467.9
E0162,2025,1,0,Servicos,Pequena,13.35,1,658.3
E0163,2022,0,0,Agropecuaria,Pequena,8.69,1,414.8
E0163,2025,1,0,Agropecuaria,Pequena,8.69,1,689.1
E0164,2022,0,1,Industria,Media,46.23,1,1082.0
E0164,2025,1,1,Industria,Media,46.23,1,1337.6
E0165,2022,0,0,Agropecuaria,Micro,3.35,0,473.6
E0165,2025,1,0,Agropecuaria,Micro,3.35,0,634.1
E0166,2022,0,1,Agropecuaria,Pequena,13.76,1,764.5
E0166,2025,1,1,Agropecuaria,Pequena,13.76,1,943.1
E0167,2022,0,0,Comercio,Pequena,6.17,0,535.4
E0167,2025,1,0,Comercio,Pequena,6.17,0,651.5
E0168,2022,0,0,Agroindustria,Micro,1.12,0,625.2
E0168,2025,1,0,Agroindustria,Micro,1.12,0,811.9
E0169,2022,0,0,Industria,Micro,1.19,0,387.8
E0169,2025,1,0,Industria,Micro,1.19,0,583.9
E0170,2022,0,0,Industria,Pequena,5.25,0,679.7
E0170,2025,1,0,Industria,Pequena,5.25,0,859.4
E0171,2022,0,1,Servicos,Pequena,14.31,1,684.4
E0171,2025,1,1,Servicos,Pequena,14.31,1,901.1
E0172,2022,0,0,Comercio,Micro,3.71,0,434.9
E0172,2025,1,0,Comercio,Micro,3.71,0,681.6
E0173,2022,0,0,Industria,Pequena,10.13,0,488.7
E0173,2025,1,0,Industria,Pequena,10.13,0,676.8
E0174,2022,0,0,Comercio,Micro,1.15,0,592.7
E0174,2025,1,0,Comercio,Micro,1.15,0,674.2
E0175,2022,0,0,Agroindustria,Pequena,13.34,0,630.7
E0175,2025,1,0,Agroindustria,Pequena,13.34,0,877.5
E0176,2022,0,0,Servicos,Pequena,9.02,0,426.2
E0176,2025,1,0,Servicos,Pequena,9.02,0,797.3
E0177,2022,0,0,Comercio,Pequena,6.13,0,936.5
E0177,2025,1,0,Comercio,Pequena,6.13,0,934.6
E0178,2022,0,0,Comercio,Micro,2.43,0,595.9
E0178,2025,1,0,Comercio,Micro,2.43,0,637.6
E0179,2022,0,0,Agroindustria,Pequena,5.23,0,454.7
E0179,2025,1,0,Agroindustria,Pequena,5.23,0,459.6
E0180,2022,0,1,Comercio,Media,77.43,1,1067.8
E0180,2025,1,1,Comercio,Media,77.43,1,1380.8
E0181,2022,0,0,Industria,Micro,3.21,0,753.6
E0181,2025,1,0,Industria,Micro,3.21,0,776.0
E0182,2022,0,1,Industria,Pequena,10.8,0,521.9
E0182,2025,1,1,Industria,Pequena,10.8,0,564.3
E0183,2022,0,0,Agroindustria,Micro,2.55,0,454.0
E0183,2025,1,0,Agroindustria,Micro,2.55,0,759.6
E0184,2022,0,0,Comercio,Micro,3.23,0,600.9
E0184,2025,1,0,Comercio,Micro,3.23,0,846.4
E0185,2022,0,0,Servicos,Pequena,6.07,0,361.2
E0185,2025,1,0,Servicos,Pequena,6.07,0,758.1
E0186,2022,0,0,Agropecuaria,Media,84.22,1,445.6
E0186,2025,1,0,Agropecuaria,Media,84.22,1,691.4
E0187,2022,0,1,Comercio,Micro,3.87,0,434.4
E0187,2025,1,1,Comercio,Micro,3.87,0,578.9
E0188,2022,0,0,Comercio,Micro,2.58,1,119.6
E0188,2025,1,0,Comercio,Micro,2.58,1,400.9
E0189,2022,0,0,Servicos,Pequena,4.84,1,446.8
E0189,2025,1,0,Servicos,Pequena,4.84,1,479.4
E0190,2022,0,0,Servicos,Pequena,5.59,0,889.2
E0190,2025,1,0,Servicos,Pequena,5.59,0,1188.6
E0191,2022,0,0,Agropecuaria,Pequena,15.14,0,426.8
E0191,2025,1,0,Agropecuaria,Pequena,15.14,0,444.3
E0192,2022,0,0,Industria,Pequena,12.65,0,120.0
E0192,2025,1,0,Industria,Pequena,12.65,0,269.1
E0193,2022,0,1,Agroindustria,Media,41.62,1,992.3
E0193,2025,1,1,Agroindustria,Media,41.62,1,1076.7
E0194,2022,0,0,Servicos,Pequena,8.74,0,210.3
E0194,2025,1,0,Servicos,Pequena,8.74,0,390.5
E0195,2022,0,0,Agropecuaria,Media,34.56,0,744.5
E0195,2025,1,0,Agropecuaria,Media,34.56,0,1191.5
E0196,2022,0,1,Agroindustria,Pequena,12.62,0,892.1
E0196,2025,1,1,Agroindustria,Pequena,12.62,0,1275.5
E0197,2022,0,1,Industria,Media,16.25,0,1038.1
E0197,2025,1,1,Industria,Media,16.25,0,1403.1
E0198,2022,0,1,Industria,Pequena,13.64,1,655.2
E0198,2025,1,1,Industria,Pequena,13.64,1,882.1
E0199,2022,0,0,Agropecuaria,Media,29.38,1,725.0
E0199,2025,1,0,Agropecuaria,Media,29.38,1,909.8
E0200,2022,0,0,Agropecuaria,Pequena,8.45,1,481.1
E0200,2025,1,0,Agropecuaria,Pequena,8.45,1,673.0
E0201,2022,0,0,Servicos,Pequena,15.43,0,341.4
E0201,2025,1,0,Servicos,Pequena,15.43,0,567.6
E0202,2022,0,0,Agroindustria,Media,17.97,1,793.1
E0202,2025,1,0,Agroindustria,Media,17.97,1,1121.4
E0203,2022,0,0,Comercio,Micro,4.46,0,44.9
E0203,2025,1,0,Comercio,Micro,4.46,0,0.0
E0204,2022,0,0,Comercio,Pequena,7.64,0,715.4
E0204,2025,1,0,Comercio,Pequena,7.64,0,972.8
E0205,2022,0,0,Comercio,Pequena,10.96,0,645.3
E0205,2025,1,0,Comercio,Pequena,10.96,0,726.9
E0206,2022,0,0,Comercio,Micro,1.27,0,416.4
E0206,2025,1,0,Comercio,Micro,1.27,0,629.1
E0207,2022,0,1,Comercio,Pequena,6.51,0,565.1
E0207,2025,1,1,Comercio,Pequena,6.51,0,816.8
E0208,2022,0,0,Comercio,Pequena,11.16,0,537.0
E0208,2025,1,0,Comercio,Pequena,11.16,0,1015.4
E0209,2022,0,1,Comercio,Media,61.47,1,871.6
E0209,2025,1,1,Comercio,Media,61.47,1,1231.3
E0210,2022,0,1,Servicos,Media,26.88,1,1086.6
E0210,2025,1,1,Servicos,Media,26.88,1,1274.9
E0211,2022,0,0,Industria,Micro,3.49,0,513.3
E0211,2025,1,0,Industria,Micro,3.49,0,747.6
E0212,2022,0,0,Comercio,Pequena,9.21,0,480.2
E0212,2025,1,0,Comercio,Pequena,9.21,0,598.2
E0213,2022,0,0,Agropecuaria,Media,33.46,0,647.6
E0213,2025,1,0,Agropecuaria,Media,33.46,0,563.2
E0214,2022,0,0,Industria,Pequena,13.66,0,853.9
E0214,2025,1,0,Industria,Pequena,13.66,0,1111.5
E0215,2022,0,0,Servicos,Micro,1.94,0,470.5
E0215,2025,1,0,Servicos,Micro,1.94,0,728.8
E0216,2022,0,0,Servicos,Micro,2.2,0,107.0
E0216,2025,1,0,Servicos,Micro,2.2,0,322.2
E0217,2022,0,0,Agropecuaria,Pequena,10.67,0,708.7
E0217,2025,1,0,Agropecuaria,Pequena,10.67,0,765.9
E0218,2022,0,1,Servicos,Media,32.83,1,1030.6
E0218,2025,1,1,Servicos,Media,32.83,1,1364.4
E0219,2022,0,0,Agropecuaria,Micro,4.41,0,564.6
E0219,2025,1,0,Agropecuaria,Micro,4.41,0,853.2
E0220,2022,0,0,Agroindustria,Pequena,9.91,0,870.8
E0220,2025,1,0,Agroindustria,Pequena,9.91,0,1087.6
E0221,2022,0,0,Agropecuaria,Micro,2.66,0,405.4
E0221,2025,1,0,Agropecuaria,Micro,2.66,0,636.4
E0222,2022,0,1,Comercio,Media,34.81,0,1092.9
E0222,2025,1,1,Comercio,Media,34.81,0,1376.8
E0223,2022,0,1,Servicos,Media,43.5,1,658.9
E0223,2025,1,1,Servicos,Media,43.5,1,838.3
E0224,2022,0,1,Servicos,Pequena,13.51,0,430.4
